,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
0,-0.5302,Sun Jun 10 03:00:00 +0000 2018,0.819,0.181,0.0,".@GrecianFormula on NK summit: ""My fear here is, I do not want [@POTUS] to give Kim Jong Un that handshake that wil… https://t.co/DYkfdTrQ8g",1
1,-0.4767,Sun Jun 10 02:53:00 +0000 2018,0.853,0.147,0.0,"Florida man arrested for mid-flight battery against flight attendant, calling her racial slur and ‘too big for this… https://t.co/kuyOsXOW2L",2
2,0.0,Sun Jun 10 02:46:00 +0000 2018,1.0,0.0,0.0,.@MrJoshuaRogers: There's just one way to marry the right person (and anyone can do it) https://t.co/U5JVjrWjpn,3
3,0.0,Sun Jun 10 02:39:55 +0000 2018,1.0,0.0,0.0,"Indiana teacher survives school shooting, Las Vegas massacre https://t.co/fVMuxh9X5r",4
4,0.0,Sun Jun 10 02:34:00 +0000 2018,1.0,0.0,0.0,"#MeghanMarkle attends annual Trooping the Colour parade, makes Buckingham Palace balcony debut https://t.co/k7kWpRHROu",5
5,-0.34,Sun Jun 10 02:31:33 +0000 2018,0.7,0.185,0.115,"#Trump slams Canadian PM as 'dishonest and weak,' pulls back on G-7 communique endorsement https://t.co/qwhvuGOwv9 https://t.co/YQ4KetNFAq",6
6,-0.7579,Sun Jun 10 02:23:16 +0000 2018,0.629,0.371,0.0,"Son of Farrah Fawcett, Ryan O'Neal charged with attempted murder, authorities say https://t.co/4XZWmjULRN",7
7,0.4678,Sun Jun 10 02:15:19 +0000 2018,0.824,0.0,0.176,".@RealDeanCain on @POTUS' first 500 days in office: ""I think it's been pretty darn good, but you wouldn't know that… https://t.co/hraDkj3LwV",8
8,0.0,Sun Jun 10 02:06:33 +0000 2018,1.0,0.0,0.0,"""If anybody can do it, [President @realDonaldTrump] can.""

On ""Justice,"" @JudgeJeanine hit the streets of New York… https://t.co/x2B6TMxzrS",9
9,0.7906,Sun Jun 10 02:05:00 +0000 2018,0.708,0.0,0.292,Speaking Saturday about the upcoming North Korea summit at the Faith and Freedom Coalition “Road to Majority” Conve… https://t.co/mb5jxUmj1f,10
10,0.5267,Sun Jun 10 01:51:36 +0000 2018,0.805,0.0,0.195,"Warriors coach Steve Kerr praises LeBron James, compares him to Michael Jordan, report says https://t.co/GFNhAcWjtl",11
11,-0.5574,Sun Jun 10 01:44:59 +0000 2018,0.714,0.286,0.0,Officials order new evacuations as Colorado wildfires rage on https://t.co/CHxtJP68Lp,12
12,-0.4215,Sun Jun 10 01:44:34 +0000 2018,0.851,0.149,0.0,".@ChristopherHahn on Bill Maher's comments about @POTUS: ""I don't think it's gonna take a recession to defeat… https://t.co/vBHNGT9JNI",13
13,0.7003,Sun Jun 10 01:40:32 +0000 2018,0.746,0.0,0.254,".@ChristopherHahn on NK summit: ""I hope @realDonaldTrump gets along better with Kim Jong Un than he did with… https://t.co/90m2HxniCb",14
14,0.6249,Sun Jun 10 01:38:15 +0000 2018,0.823,0.0,0.177,".@DarrellIssa: ""[@POTUS] has a great deal of common sense to know that everything we tried for 67 years doesn't wor… https://t.co/fYGu6PX2kk",15
15,0.0772,Sun Jun 10 01:37:20 +0000 2018,0.936,0.0,0.064,".@DarrellIssa: ""One of the challenges that other presidents faced that [@POTUS] doesn't is they wanna be seen in hi… https://t.co/2SGKqO8TQB",16
16,-0.8807,Sun Jun 10 01:32:57 +0000 2018,0.579,0.421,0.0,".@hogangidley45 on illegal immigrant crime statistics: ""The sad part is, these crimes are 100 percent preventable.… https://t.co/Z1nEuAnR2h",17
17,-0.9305,Sun Jun 10 01:30:12 +0000 2018,0.536,0.464,0.0,".@hogangidley45 on illegal immigrant crime statistics: ""We are not getting the best of the best from these other co… https://t.co/Vlqp9bH3CE",18
18,0.7964,Sun Jun 10 01:26:52 +0000 2018,0.664,0.0,0.336,".@hogangidley45 on @dennisrodman supporting @POTUS: ""[Dennis Rodman] knows what's best, I'll give him that, because… https://t.co/mTQsizi2LQ",19
19,0.0,Sun Jun 10 01:25:00 +0000 2018,1.0,0.0,0.0,SUNDAY: @BretBaier is live in Singapore ahead of President @realDonaldTrump’s historic summit with North Korean lea… https://t.co/QHl8nHgfyM,20
20,0.1935,Sun Jun 10 01:23:47 +0000 2018,0.662,0.153,0.185,".@hogangidley45: ""So many people on the Left hate this president more than they love this country.""  @JudgeJeanine https://t.co/UIkcGTklSc",21
21,0.0,Sun Jun 10 01:18:44 +0000 2018,1.0,0.0,0.0,".@JudgeJeanine: ""@realDonaldTrump is bringing America back in front of our eyes and it's time for the unAmerican ha… https://t.co/LyLZpFj6Rn",22
22,0.4019,Sun Jun 10 01:10:00 +0000 2018,0.787,0.0,0.213,Couple gets engaged at Trader Joe’s during ‘millennial grocery tour’ https://t.co/9NLYqzwzdz,23
23,-0.34,Sun Jun 10 01:06:03 +0000 2018,0.684,0.195,0.121,".@realDonaldTrump slams Canadian PM as 'dishonest and weak,' pulls back on G-7 communique endorsement https://t.co/CyHjtR10cz",24
24,0.3612,Sun Jun 10 01:03:09 +0000 2018,0.894,0.0,0.106,"Ahead of the North Korea summit, @VP Mike Pence said he assured Otto Warmbier's family that their son ""will not hav… https://t.co/wGvqt2XNnd",25
25,-0.5106,Sun Jun 10 01:01:00 +0000 2018,0.769,0.231,0.0,"TSA searches 96-year-old woman in wheelchair in viral video, sparking outrage https://t.co/ruX7CBshrg",26
26,0.3612,Sun Jun 10 00:59:12 +0000 2018,0.839,0.0,0.161,#Trump says US is like a 'piggy bank that everybody is robbing' on trade https://t.co/PK8qw7lxvW,27
27,0.4939,Sun Jun 10 00:48:12 +0000 2018,0.833,0.0,0.167,".@RepMattGaetz: ""This is Donald Trump's America. It's the Trump economy, it's roaring. People are confident, busine… https://t.co/wZMGzvhYgi",28
28,0.6369,Sun Jun 10 00:46:12 +0000 2018,0.741,0.0,0.259,".@RepMattGaetz: ""As Republicans, we love when @NancyPelosi talks about the economy."" @WattersWorld https://t.co/cCIxsAm8NV",29
29,0.0,Sun Jun 10 00:41:22 +0000 2018,1.0,0.0,0.0,".@KellyannePolls: ""It's through the president's leadership and stewardship that @SecPompeo has been over to North K… https://t.co/CqUyx8gzuR",30
30,0.0,Sun Jun 10 00:34:42 +0000 2018,1.0,0.0,0.0,".@KellyannePolls: ""[President @realDonaldTrump is] very open to differing opinions and viewpoints. He's a master ne… https://t.co/z7mDmPDjMi",31
31,0.7964,Sun Jun 10 00:30:54 +0000 2018,0.693,0.0,0.307,Jockey Mike Smith celebrates atop of Justify after winning the coveted Triple Crown at the Belmont Stakes.… https://t.co/lUG6e16WfK,32
32,-0.1531,Sun Jun 10 00:30:00 +0000 2018,0.897,0.103,0.0,SUNDAY: Don’t miss @FoxNewsSunday from Singapore ahead of President @realDonaldTrump’s historic meeting with North… https://t.co/cF2Y1xLD4Y,33
33,-0.2263,Sun Jun 10 00:20:34 +0000 2018,0.905,0.095,0.0,".@jasonsehorn on national anthem protests: ""Their actual message of what they're trying to get across is being lost… https://t.co/KO4yaWJG4Y",34
34,-0.3818,Sun Jun 10 00:12:34 +0000 2018,0.86,0.14,0.0,"Former @NFL player @JackBrewerBSI: ""We're all Americans. We're in the same family. Families fight, families quarrel… https://t.co/hswCr90kiS",35
35,0.7845,Sun Jun 10 00:05:47 +0000 2018,0.653,0.0,0.347,OPINION: Justify’s Triple Crown win brings us together to admire an uncommonly gifted horse https://t.co/4nIf9mv4Wz,36
36,-0.296,Sun Jun 10 00:00:24 +0000 2018,0.855,0.145,0.0,"Earlier, President @realDonaldTrump accused Canadian Prime Minister @JustinTrudeau of making ""false statements"" at… https://t.co/oUPeNM1BJv",37
37,0.3612,Sat Jun 09 23:54:29 +0000 2018,0.815,0.0,0.185,.@VP reassures family of Otto Warmbier ahead of North Korea summit https://t.co/t0jwuWxjHx,38
38,-0.5413,Sat Jun 09 23:32:44 +0000 2018,0.837,0.163,0.0,.@replouiegohmert: “Robert Mueller has done more damage during his 12 years as FBI director than… probably all the… https://t.co/u1rce2rGvi,39
